kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
卒,ソツ シュツ,sotsu syutsu,そっする おえる おわる ついに にわか,sossuru oeru owaru tsuini niwaka ,graduate; soldier; private; die;,2,ソツ シュツ…そっする おえる おわる ついに にわか
袖,シュウ,syuu,そで,sode ,sleeve; wing (building); extension; give cold shoulder;,1,シュウ…そで
揃,セン,sen,そろえる そろう そろい きる,soroeru sorou soroi kiru ,be complete; uniform; all present;,1,セン…そろえる そろう そろい きる
存,ソン ゾン,son zon,,,suppose; be aware of; believe; feel;,2,ソン ゾン…
孫,ソン,son,まご,mago ,grandchild; descendants;,2,ソン…まご
尊,ソン,son,たっとい とうとい たっとぶ とうとぶ,tattoi toutoi tattobu toutobu ,revered; valuable; precious; noble; exalted;,2,ソン…たっとい とうとい たっとぶ とうとぶ
損,ソン,son,そこなう そこなう そこねる,sokonau sokonau sokoneru ,damage; loss; disadvantage; hurt; injure;,2,ソン…そこなう そこなう そこねる
村,ソン,son,むら,mura ,town; village;,2,ソン…むら
他,タ,ta,ほか,hoka ,other; another; the others;,2,タ…ほか
多,タ,ta,おおい まさに まさる,ooi masani masaru ,many; frequent; much;,3,タ…おおい まさに まさる
太,タイ タ,tai ta,ふとい ふとる,futoi futoru ,plump; thick; big around;,2,タイ タ…ふとい ふとる
堕,ダ,da,おちる くずす くずれる,ochiru kuzusu kuzureru ,degenerate; descend to; lapse into;,1,ダ…おちる くずす くずれる
妥,ダ,da,,,gentle; peace; depravity;,1,ダ…
惰,ダ,da,,,lazy; laziness;,1,ダ…
打,ダ ダアス,da daasu,うつ うち- ぶつ,utsu uchi butsu ,strike; hit; knock; pound; dozen;,2,ダ ダアス…うつ うち- ぶつ
駄,ダ タ,da ta,,,burdensome; pack horse; horse load; send by horse;,1,ダ タ…
体,タイ テイ,tai tei,からだ かたち,karada katachi ,body; substance; object; reality; counter for images;,3,タイ テイ…からだ かたち
対,タイ ツイ,tai tsui,あいて こたえる そろい つれあい ならぶ むかう,aite kotaeru soroi tsureai narabu mukau ,vis-a-vis; opposite; even; equal; versus; anti-; compare;,2,タイ ツイ…あいて こたえる そろい つれあい ならぶ むかう
耐,タイ,tai,たえる,taeru ,-proof; enduring;,1,タイ…たえる
帯,タイ,tai,おびる おび,obiru obi ,sash; belt; obi; zone; region;,2,タイ…おびる おび
待,タイ,tai,まつ,matsu ,wait; depend on;,3,タイ…まつ
怠,タイ,tai,おこたる なまける,okotaru namakeru ,neglect; laziness;,1,タイ…おこたる なまける
態,タイ,tai,わざと,wazato ,attitude; condition; figure; appearance; voice (of verbs);,1,タイ…わざと
戴,タイ,tai,いただく,itadaku ,be crowned with; live under (a ruler); receive;,1,タイ…いただく
替,タイ,tai,かえる かえ- かわる,kaeru kae kawaru ,exchange; spare; substitute; per-;,2,タイ…かえる かえ- かわる
泰,タイ,tai,,,peaceful; calm; peace; easy; Thailand;,1,タイ…
滞,タイ テイ,tai tei,とどこおる,todokooru ,stagnate; be delayed; overdue; arrears;,1,タイ テイ…とどこおる
胎,タイ,tai,,,womb; uterus;,1,タイ…
袋,タイ ダイ,tai dai,ふくろ,fukuro ,sack; bag; pouch;,2,タイ ダイ…ふくろ
貸,タイ,tai,かす かし- かし-,kasu kashi kashi ,lend;,3,タイ…かす かし- かし-
退,タイ,tai,しりぞく しりぞける ひく のく のける どく,shirizoku shirizokeru hiku noku nokeru doku ,retreat; withdraw; retire; resign; repel; expel; reject;,2,タイ…しりぞく しりぞける ひく のく のける どく
逮,タイ,tai,,,apprehend; chase;,1,タイ…
隊,タイ,tai,,,regiment; party; company; squad;,1,タイ…
鯛,チョウ,tyou,たい,tai ,sea bream; red snapper;,1,チョウ…たい
代,ダイ タイ,dai tai,かわる かわる かわり かえる よ しろ,kawaru kawaru kawari kaeru yo shiro ,substitute; change; convert; replace; period; age; generation; charge; rate; fee;,3,ダイ タイ…かわる かわる かわり かえる よ しろ
台,ダイ タイ,dai tai,うてな われ つかさ,utena ware tsukasa ,pedestal; a stand; counter for machines and vehicles;,3,ダイ タイ…うてな われ つかさ
大,ダイ タイ,dai tai,おお- おおきい,oo ookii ,large; big;,4,ダイ タイ…おお- おおきい
第,ダイ テイ,dai tei,,,No.; residence;,1,ダイ テイ…
題,ダイ,dai,,,topic; subject;,3,ダイ…
鷹,ヨウ オウ,you ou,たか,taka ,hawk;,1,ヨウ オウ…たか
滝,ロウ ソウ,rou sou,たき,taki ,waterfall; rapids; cascade;,1,ロウ ソウ…たき
卓,タク,taku,,,eminent; table; desk; high;,1,タク…
宅,タク,taku,,,home; house; residence; our house; my husband;,2,タク…
択,タク,taku,えらぶ,erabu ,choose; select; elect; prefer;,1,タク…えらぶ
拓,タク,taku,ひらく,hiraku ,clear (the land); open; break up (land);,1,タク…ひらく
沢,タク,taku,さわ うるおい うるおす つや,sawa uruoi uruosu tsuya ,swamp;,1,タク…さわ うるおい うるおす つや
濯,タク,taku,すすぐ ゆすぐ,susugu yusugu ,laundry; wash; pour on; rinse;,2,タク…すすぐ ゆすぐ
琢,タク,taku,みがく,migaku ,polish;,1,タク…みがく
託,タク,taku,かこつける かこつ かこつける,kakotsukeru kakotsu kakotsukeru ,consign; requesting; entrusting with; pretend; hint;,1,タク…かこつける かこつ かこつける
濁,ダク ジョク,daku zyoku,にごる にごす,nigoru nigosu ,voiced; uncleanness; wrong; nigori; impurity;,1,ダク ジョク…にごる にごす
諾,ダク,daku,,,consent; assent; agreement;,1,ダク…
只,シ,shi,ただ,tada ,only; free; in addition;,1,シ…ただ
但,タン,tan,ただし,tadashi ,however; but;,1,タン…ただし
達,タツ ダ,tatsu da,,,accomplished; reach; arrive; attain;,2,タツ ダ…
辰,シン ジン,shin zin,たつ,tatsu ,sign of the dragon; 7-9AM; fifth sign of Chinese zodiac;,1,シン ジン…たつ
奪,ダツ,datsu,うばう,ubau ,rob; take by force; snatch away; dispossess; plunder; usurp;,1,ダツ…うばう
脱,ダツ,datsu,ぬぐ ぬげる,nugu nugeru ,undress; removing; escape from; get rid of; be left out; take off;,1,ダツ…ぬぐ ぬげる
棚,ホウ,hou,たな,tana ,shelf; ledge; rack; mount; mantle; trellis;,1,ホウ…たな
谷,コク,koku,たに きわまる,tani kiwamaru ,valley;,2,コク…たに きわまる
誰,スイ,sui,だれ たれ た,dare tare ta ,who; someone; somebody;,1,スイ…だれ たれ た
丹,タン,tan,に,ni ,rust-colored; red; read lead; pills;,1,タン…に
単,タン,tan,ひとえ,hitoe ,simple; one; single; merely;,2,タン…ひとえ
嘆,タン,tan,なげく なげかわしい,nageku nagekawashii ,sigh; lament; moan; grieve;,1,タン…なげく なげかわしい
担,タン,tan,かつぐ になう,katsugu ninau ,shouldering; carry; raise; bear;,2,タン…かつぐ になう
探,タン,tan,さぐる さがす,saguru sagasu ,grope; search; look for;,2,タン…さぐる さがす
旦,タン ダン,tan dan,あきらか あきら ただし あさ あした,akiraka akira tadashi asa ashita ,nightbreak; dawn; morning;,1,タン ダン…あきらか あきら ただし あさ あした
淡,タン,tan,あわい,awai ,thin; faint; pale; fleeting;,1,タン…あわい
炭,タン,tan,すみ,sumi ,charcoal; coal;,2,タン…すみ
短,タン,tan,みじかい,mijikai ,short; brevity; fault; defect; weak point;,2,タン…みじかい
端,タン,tan,はし は はた はな,hashi ha hata hana ,edge; origin; end; point; border; verge; cape;,1,タン…はし は はた はな
胆,タン,tan,きも,kimo ,gall bladder; courage; pluck; nerve;,1,タン…きも
誕,タン,tan,,,nativity; be born; declension; lie; be arbitrary;,1,タン…
鍛,タン,tan,きたえる,kitaeru ,forge; discipline; train;,1,タン…きたえる
団,ダン トン,dan ton,かたまり まるい,katamari marui ,group; association;,2,ダン トン…かたまり まるい
壇,ダン タン,dan tan,,,podium; stage; rostrum; terrace;,1,ダン タン…
弾,ダン タン,dan tan,ひく はずむ たま はじく はじける ただす はじきゆみ,hiku hazumu tama hajiku hajikeru tadasu hajikiyumi ,bullet; twang; flip; snap;,1,ダン タン…ひく はずむ たま はじく はじける ただす はじきゆみ
断,ダン,dan,たつ ことわる さだめる,tatsu kotowaru sadameru ,severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting;,2,ダン…たつ ことわる さだめる
暖,ダン ノン,dan non,あたたか あたたかい あたたまる あたためる,atataka atatakai atatamaru atatameru ,warmth;,1,ダン ノン…あたたか あたたかい あたたまる あたためる
段,ダン タン,dan tan,,,grade; steps; stairs;,2,ダン タン…
男,ダン ナン,dan nan,おとこ お,otoko o ,male;,4,ダン ナン…おとこ お
談,ダン,dan,,,discuss; talk;,2,ダン…
値,チ,chi,ね あたい,ne atai ,price; cost; value;,2,チ…ね あたい
知,チ,chi,しる しらせる,shiru shiraseru ,know; wisdom;,3,チ…しる しらせる
地,チ ジ,chi zi,,,ground; earth;,3,チ ジ…
恥,チ,chi,はじる はじ はじらう はずかしい,hajiru haji hajirau hazukashii ,shame; dishonor;,2,チ…はじる はじ はじらう はずかしい
智,チ,chi,,,wisdom; intellect; reason;,1,チ…
池,チ,chi,いけ,ike ,pond; cistern; pool; reservoir;,2,チ…いけ
痴,チ,chi,しれる おろか,shireru oroka ,stupid; foolish;,1,チ…しれる おろか
稚,チ ジ,chi zi,いとけない おさない おくて おでる,itokenai osanai okute oderu ,immature; young;,1,チ ジ…いとけない おさない おくて おでる
置,チ,chi,おく,oku ,placement; put; set; deposit; leave behind; keep; employ; pawn;,2,チ…おく
致,チ,chi,いたす,itasu ,doth; do; send; forward; cause; exert; incur; engage;,1,チ…いたす
遅,チ,chi,おくれる おくらす おそい,okureru okurasu osoi ,slow; late; back; later;,2,チ…おくれる おくらす おそい
築,チク,chiku,きずく,kizuku ,fabricate; build; construct;,2,チク…きずく
畜,チク,chiku,,,livestock; domestic fowl and animals;,2,チク…
竹,チク,chiku,たけ,take ,bamboo;,2,チク…たけ
蓄,チク,chiku,たくわえる,takuwaeru ,amass; keeping a concubine; phonograph;,1,チク…たくわえる
逐,チク,chiku,,,pursue; drive away; chase; accomplish; attain; commit;,1,チク…
秩,チツ,chitsu,,,regularity; salary; order;,1,チツ…
窒,チツ,chitsu,,,plug up; obstruct;,1,チツ…
茶,チャ サ,tya sa,,,tea;,3,チャ サ…
嫡,チャク テキ,tyaku teki,,,legitimate wife; direct descent (non-bastard);,1,チャク テキ…
着,チャク ジャク,tyaku zyaku,きる きせる つく つける,kiru kiseru tsuku tsukeru ,don; arrive; wear; counter for suits of clothing;,3,チャク ジャク…きる きせる つく つける
中,チュウ,tyuu,なか うち あたる,naka uchi ataru ,in; inside; middle; mean; center;,4,チュウ…なか うち あたる
仲,チュウ,tyuu,なか,naka ,go-between; relationship;,2,チュウ…なか
宙,チュウ,tyuu,,,mid-air; air; space; sky; memorization; interval of time;,1,チュウ…
忠,チュウ,tyuu,,,loyalty; fidelity; faithfulness;,1,チュウ…
抽,チュウ,tyuu,ひき-,hiki ,pluck; pull; extract; excel;,1,チュウ…ひき-
昼,チュウ,tyuu,ひる,hiru ,daytime; noon;,3,チュウ…ひる
柱,チュウ,tyuu,はしら,hashira ,pillar; post; cylinder; support;,2,チュウ…はしら
注,チュウ,tyuu,そそぐ さす つぐ,sosogu sasu tsugu ,pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate;,3,チュウ…そそぐ さす つぐ
虫,チュウ キ,tyuu ki,むし,mushi ,insect; bug; temper;,2,チュウ キ…むし
衷,チュウ,tyuu,,,inmost; heart; mind; inside;,1,チュウ…
鋳,チュウ イ シュ シュウ,tyuu i syu syuu,いる,iru ,casting; mint;,1,チュウ イ シュ シュウ…いる
駐,チュウ,tyuu,,,stop-over; reside in; resident;,2,チュウ…
猪,チョ,tyo,い いのしし,i inoshishi ,boar;,1,チョ…い いのしし
著,チョ チャク,tyo tyaku,あらわす いちじるしい,arawasu ichijirushii ,renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work;,2,チョ チャク…あらわす いちじるしい
貯,チョ,tyo,ためる たくわえる,tameru takuwaeru ,savings; store; lay in; keep; wear mustache;,2,チョ…ためる たくわえる
丁,チョウ テイ チン トウ チ,tyou tei chin tou chi,ひのと,hinoto ,street; ward; town; counter for guns tools leaves or cakes of something; even number; 4th calendar sign;,1,チョウ テイ チン トウ チ…ひのと
兆,チョウ,tyou,きざす きざし,kizasu kizashi ,portent; 10**12; trillion; sign; omen; symptoms;,2,チョウ…きざす きざし
帳,チョウ,tyou,とばり,tobari ,notebook; account book; album;,1,チョウ…とばり
庁,チョウ テイ,tyou tei,やくしょ,yakusho ,government office;,2,チョウ テイ…やくしょ
弔,チョウ,tyou,とむらう とぶらう,tomurau toburau ,condolences; mourning; funeral;,1,チョウ…とむらう とぶらう
張,チョウ,tyou,はる,haru ,lengthen; counter for bows & stringed instruments; stretch; spread; put up (tent);,1,チョウ…はる
彫,チョウ,tyou,ほる,horu ,carve; engrave; chisel;,1,チョウ…ほる
徴,チョウ チ,tyou chi,しるし,shirushi ,indications; sign; omen; symptom; collect; seek; refer to; question;,1,チョウ チ…しるし
懲,チョウ,tyou,こりる こらす こらしめる,koriru korasu korashimeru ,penal; chastise; punish; discipline;,1,チョウ…こりる こらす こらしめる
挑,チョウ,tyou,いどむ,idomu ,challenge; contend for; make love to;,1,チョウ…いどむ
暢,チョウ,tyou,のびる,nobiru ,stretch;,1,チョウ…のびる
朝,チョウ,tyou,あさ,asa ,morning; dynasty; regime; epoch; period; (North) Korea;,3,チョウ…あさ
潮,チョウ,tyou,しお うしお,shio ushio ,tide; salt water; opportunity;,1,チョウ…しお うしお
町,チョウ,tyou,まち,machi ,village; town; block; street;,3,チョウ…まち
眺,チョウ,tyou,ながめる,nagameru ,stare; watch; look at; see; scrutinize;,1,チョウ…ながめる
聴,チョウ テイ,tyou tei,きく ゆるす,kiku yurusu ,listen; headstrong; naughty; careful inquiry;,1,チョウ テイ…きく ゆるす
脹,チョウ,tyou,はれる ふくらむ ふくれる,hareru fukuramu fukureru ,dilate; distend; bulge; fill out; swell;,1,チョウ…はれる ふくらむ ふくれる
腸,チョウ,tyou,はらわた,harawata ,intestines; guts; bowels; viscera;,1,チョウ…はらわた
蝶,チョウ,tyou,,,butterfly;,1,チョウ…
調,チョウ,tyou,しらべる しらべ ととのう ととのえる,shiraberu shirabe totonou totonoeru ,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate;,2,チョウ…しらべる しらべ ととのう ととのえる
超,チョウ,tyou,こえる こす,koeru kosu ,transcend; super-; ultra-;,2,チョウ…こえる こす
跳,チョウ,tyou,はねる とぶ,haneru tobu ,hop; leap up; spring; jerk; prance; buck; splash; sputter; snap;,1,チョウ…はねる とぶ
長,チョウ,tyou,ながい おさ,nagai osa ,long; leader;,4,チョウ…ながい おさ
頂,チョウ,tyou,いただく いただき,itadaku itadaki ,place on the head; receive; top of head; top; summit; peak;,2,チョウ…いただく いただき
